id,dob,percentage,semster,gender,email,Name
4024439,1/23/2016,62.63,4,Male,cscrowson0@soundcloud.com,Cirilo Scrowson
3077792,6/21/1996,68.63,6,Male,icasbolt1@xing.com,Irwinn Casbolt
1048094,1/7/2025,45.81,1,Female,atramel2@is.gd,Alix Tramel
2092707,4/15/2000,90.96,6,Male,killingworth3@census.gov,Konrad Illingworth
785148,11/8/2024,64.81,2,Male,mcrookston4@nih.gov,Munroe Crookston
3399403,3/20/2025,21.9,4,Agender,edockrey5@altervista.org,Ertha Dockrey
563333,8/25/2011,51.72,3,Male,cbellwood6@yahoo.co.jp,Culver Bellwood
4052808,11/27/2018,79.66,1,Male,ayackiminie7@oakley.com,Abbot Yackiminie
429026,2/29/2008,33.2,7,Genderfluid,akingscott8@umn.edu,Ashly Kingscott
4118378,4/17/2001,90.7,2,Male,bbechley9@tiny.cc,Barnaby Bechley
941329,9/27/2024,98.85,4,Female,gwightmana@soup.io,Gwendolen Wightman
3781473,12/26/1990,86.74,5,Agender,gspeddinb@google.nl,Galvin Speddin
2086643,9/5/2011,90.92,7,Female,bpedlerc@slideshare.net,Bernadette Pedler
181992,9/8/1994,29.37,4,Male,hschusterld@wikia.com,Horacio Schusterl
70633,9/20/2003,97.31,2,Polygender,nmcpeakee@tinyurl.com,Nata McPeake
3821823,6/3/2022,88.51,6,Male,cdronsfieldf@t-online.de,Chuck Dronsfield
4680755,5/7/2012,54.96,2,Male,rsilberg@wix.com,Rodolfo Silber
527336,12/15/1990,13.31,4,Female,shugueneth@gizmodo.com,Sasha Huguenet
1665018,2/27/2016,14.66,3,Male,rfeltoni@opera.com,Renaud Felton
2950159,10/24/2005,84.35,3,Male,lrappj@godaddy.com,Lazare Rapp
2021591,1/2/2015,98.42,3,Female,kpetticank@trellian.com,Keslie Pettican
3005050,4/12/2025,1.49,2,Male,ableythinl@geocities.com,Allan Bleythin
2173507,7/11/2013,70.51,2,Female,gducroem@blog.com,Germana Ducroe
1568966,1/3/2018,22.13,3,Genderqueer,fgoodan@tripadvisor.com,Faulkner Gooda
745372,2/10/2013,81.55,1,Male,lpiello@yelp.com,Lauritz Piell
1060944,11/5/2013,94.14,2,Female,eviggersp@alibaba.com,Ermina Viggers
2078459,2/27/2001,37.59,5,Female,bbeeseyq@engadget.com,Betta Beesey
4469183,10/26/1990,62.31,1,Male,tbaggerr@dyndns.org,Tonnie Bagger
1165099,12/23/2017,15.8,5,Female,tstaresmeares@deliciousdays.com,Tiff Staresmeare
561532,10/14/2004,55.79,5,Male,hhalwillt@studiopress.com,Haze Halwill
1366955,12/27/1992,77.81,6,Male,mdurdenu@arstechnica.com,Marlin Durden
1734409,5/30/2021,86.01,3,Male,jmccobbv@chicagotribune.com,Joey McCobb
3385084,8/5/1992,83.84,4,Male,estuttmanw@ihg.com,Ev Stuttman
3167615,2/3/2009,44.28,6,Female,bayersx@prlog.org,Britteny Ayers
520475,6/21/1995,77.61,6,Male,fmanstony@bloglines.com,Franklin Manston
3445648,11/22/2023,44.99,5,Male,rcampez@amazon.co.jp,Rube Campe
4190910,5/10/2019,73.35,3,Male,ao10@marriott.com,Adolpho O' Mahony
2377423,3/11/1991,74.95,8,Male,waddison11@ucoz.ru,Web Addison
3697490,4/13/2023,86.35,2,Male,wrawls12@blog.com,Welbie Rawls
1874371,1/9/2016,8.74,3,Female,acarme13@usatoday.com,Alanna Carme
1219505,9/4/2006,50.27,6,Male,smarshland14@google.com,Stewart Marshland
1717967,5/13/1995,64.05,7,Male,hlaytham15@noaa.gov,Haskell Laytham
4931345,7/5/1994,99.66,2,Female,ewhiscard16@archive.org,Emmy Whiscard
2529578,2/2/2001,57.8,4,Female,dchadwell17@amazon.de,Dalia Chadwell
207955,2/9/2022,59.29,8,Female,sfeldfisher18@ca.gov,Shandy Feldfisher
4634430,4/2/2024,76.69,2,Male,smarcam19@ycombinator.com,Sigismundo Marcam
2122500,8/24/2003,63.54,2,Male,rniven1a@facebook.com,Rickert Niven
3741552,5/15/2015,12.05,3,Male,sdavisson1b@weebly.com,Sigismundo Davisson
1168575,7/19/1995,6.7,4,Male,hagutter1c@clickbank.net,Harwilll Agutter
3316561,4/28/1995,98.06,8,Female,ngrube1d@reuters.com,Nata Grube
653520,6/23/1997,98.58,1,Female,gwetherby1e@ameblo.jp,Gert Wetherby
4985044,2/6/2007,62.24,3,Female,tpenhallurick1f@ebay.com,Terra Penhallurick
2434187,4/29/1998,96.06,5,Female,mblaxall1g@friendfeed.com,Meghann Blaxall
3033141,8/8/2019,88.25,8,Female,ibruckenthal1h@photobucket.com,Ida Bruckenthal
4744432,2/25/2020,7.94,6,Male,jroocroft1i@businesswire.com,Jehu Roocroft
2650396,2/16/2013,54.58,2,Bigender,irottcher1j@zdnet.com,Isiahi Rottcher
197665,1/22/1991,40.7,3,Male,cconstance1k@cdbaby.com,Cleavland Constance
2754212,11/7/2012,20.08,2,Male,aposvner1l@theglobeandmail.com,Aldous Posvner
1517833,9/16/1991,82.18,7,Female,ahaysham1m@instagram.com,Andra Haysham
225395,3/14/1997,50.26,3,Female,rregorz1n@pagesperso-orange.fr,Riannon Regorz
343771,11/26/2006,67.29,6,Female,vnice1o@yellowpages.com,Valina Nice
2645326,9/15/2020,90.05,3,Female,ddavitashvili1p@marketwatch.com,Dana Davitashvili
3662575,5/15/2019,32.43,2,Polygender,nmidgely1q@illinois.edu,Noah Midgely
954478,12/6/2024,74.42,3,Female,mwestrope1r@shutterfly.com,May Westrope
413152,6/13/2015,87.24,1,Female,sdumper1s@geocities.com,Shelia Dumper
1756945,3/22/1999,22.41,1,Female,rpendleberry1t@google.co.jp,Rosy Pendleberry
2276987,7/22/2025,88.37,7,Male,vpescud1u@noaa.gov,Vinson Pescud
3383679,8/7/1996,86.14,4,Male,eschleicher1v@discuz.net,Emilio Schleicher
326323,10/13/2018,35.99,3,Female,tfarfoot1w@china.com.cn,Tina Farfoot
3500641,7/11/2019,22.15,4,Male,rizaac1x@yahoo.co.jp,Ronnie Izaac
815387,12/4/2014,95.21,7,Female,mfrancklin1y@state.tx.us,Mada Francklin
1222788,3/17/2016,9.31,3,Male,mgery1z@reference.com,Mel Gery
4562766,11/30/2006,80.97,2,Agender,awinser20@shinystat.com,Anjela Winser
149044,8/27/2018,31.26,2,Male,scraighead21@imdb.com,Stanford Craighead
1848034,10/30/1998,99.61,1,Female,deburah22@weibo.com,Dorothee Eburah
956157,7/30/2002,6.71,4,Female,lkidby23@freewebs.com,Lexie Kidby
4622859,2/25/1991,6.16,8,Male,apilsbury24@dyndns.org,Alexandre Pilsbury
3045069,7/25/1996,30.85,3,Female,tcalan25@ca.gov,Tasha Calan
1852858,6/19/2012,49.61,2,Female,hwarrilow26@springer.com,Haley Warrilow
